SV_TAXONOMY	TAXONOMY_NAME	RG_REFERENCE	RG_NAME	SV_REFERENCE	SV_NAME	SV_DESCRIPTION	SL_REFERENCE	LC_REFERENCE	PHONE_NUMBER	WEBSITE	EMAIL_ADDRESS	WHEELCHAIR_ACCESSIBLE	LANGUAGE	HOURS	STREET_NUMBER	STREET_NAME	STREET_TYPE	STREET_DIRECTION	CITY	PROVINCE	POSTAL_CODE	LATITUDE	LONGITUDE	811_LINK
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660190	17660189	6045843281	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	10348 King George Boulevard				Surrey	BC	V3T 2W5	49.190752	-122.845228	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660189
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660194	17660193	6048536811	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	32700 South Fraser Way				Abbotsford	BC	V2T 4M5	49.051131	-122.317578	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660193
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660160	17660159	6044334700	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	3328 Kingsway				Vancouver	BC	V5R 5L1	49.233466	-123.034798	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660159
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660178	17660177	6046227030	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	351 Abbott Street				Vancouver	BC	V6B 0G6	49.282460	-123.106990	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660177
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660232	17660231	2507272271	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; statutory holidays, 9 a.m. - 9 p.m.	3995 Quadra Street				Saanich	BC	V8X 1J8	48.469592	-123.364261	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660231
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660172	17660171	6048988860	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	40282 Glenalder Place				Squamish	BC	V8B 0G2	49.736349	-123.132852	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660171
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660184	17660183	6044485468	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	11666 Steveston Highway				Richmond	BC	V7A 5J3	49.133312	-123.094082	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660183
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660196	17660195	6046697374	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 10 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	1187 Robson Street				Vancouver	BC	V6E 1B5	49.285736	-123.126540	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660195
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660166	17660165	2507016220	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	119 Trans Canada Highway				Duncan	BC	V9L 3P8	48.773962	-123.698850	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660165
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660212	17660211	6045353281	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	15355 24th Avenue				Surrey	BC	V4A 2H9	49.045713	-122.796625	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660211
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660158	17660157	7785455380	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	15850 26 Avenue				Surrey	BC	V3S 2N6	49.049201	-122.782789	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660157
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660236	17660235	2505611118	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	1600 15th Avenue				Prince George	BC	V2L 3X3	53.910442	-122.760717	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660235
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660242	17660241	6047072030	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.	1622 Salt Street				Vancouver	BC	V5Y 0E4	49.271299	-123.105860	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660241
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660162	17660161	6046692884	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 10 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	1650 Davie Street				Vancouver	BC	V6G 1V9	49.285730	-123.139494	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660161
